model,feature,importance_mean,importance_std,rank
Logistic Regression,Profile_skewness,0.8490716395959781,0.003001102142410201,1
Logistic Regression,DM_stdev,0.05352613249771983,0.006237242068054712,2
Logistic Regression,DM_cv,0.011192120357385638,0.0060825233395680675,3
Logistic Regression,DM_skewness,0.005506506045157256,0.004028229505568441,4
Logistic Regression,DM_mean,0.004376113008581051,0.0010460811601941246,5
Logistic Regression,DM_shape_score,0.00117616647334291,0.0021345752438844687,6
Logistic Regression,DM_kurtosis,0.00048426877125398173,0.0018713618679646357,7
Logistic Regression,Profile_stdev,0.00046424883716666976,0.0007435876805938462,8
Logistic Regression,Profile_mean,-0.0022088837055351364,0.0035122152781630815,9
Logistic Regression,profile_shape_score,-0.0023300349841925303,0.007377648623604944,10
Logistic Regression,Profile_kurtosis,-0.0031996824790608393,0.0066576301964268204,11
Logistic Regression,profile_cv,-0.0051674139759694485,0.0037556096866742175,12
SVM,Profile_skewness,0.6489247018060456,0.015439376010279286,1
SVM,profile_shape_score,0.04597419527334212,0.005997814217159336,2
SVM,DM_stdev,0.03670005981100288,0.00425612541098606,3
SVM,Profile_kurtosis,0.035958227284242895,0.005004189774470797,4
SVM,DM_mean,0.00697100759692384,0.001385015000439765,5
SVM,Profile_stdev,0.005939922450001234,0.0026863377714664645,6
SVM,Profile_mean,0.0035859463202257747,0.003166469268951712,7
SVM,DM_cv,0.0012672546692250597,0.0012078824462753992,8
SVM,DM_skewness,0.0006246051665000252,0.0011880340742013431,9
SVM,DM_shape_score,0.00014816661996193138,0.0008626874674842896,10
SVM,DM_kurtosis,0.000146778998729169,0.0006615732886867409,11
SVM,profile_cv,-0.00044862907222098514,0.0004367625227100079,12
Random Forest,Profile_skewness,0.5795137074695215,0.023976428180533287,1
Random Forest,profile_shape_score,0.0575761491615568,0.006910434308875441,2
Random Forest,DM_stdev,0.030460832218406498,0.012749069884287482,3
Random Forest,Profile_mean,0.029030569393581195,0.008681074769334005,4
Random Forest,profile_cv,0.022822671224211777,0.0046656258983840725,5
Random Forest,Profile_kurtosis,0.016707893548446862,0.01153210377536361,6
Random Forest,DM_kurtosis,0.0137986455095511,0.005762884006854564,7
Random Forest,DM_shape_score,0.012040949093701436,0.004319441676692197,8
Random Forest,DM_skewness,0.010369049215423098,0.006308226012035224,9
Random Forest,DM_cv,0.010299644686066211,0.008569512604767494,10
Random Forest,DM_mean,0.00829954850439798,0.008084588256884993,11
Random Forest,Profile_stdev,0.006074144686306337,0.005047843039363142,12
XGBoost,Profile_skewness,0.7152261632525836,0.020540217646544384,1
XGBoost,DM_stdev,0.05928673316950561,0.009785352081090005,2
XGBoost,profile_shape_score,0.008739408108017632,0.007315479418883071,3
XGBoost,Profile_stdev,0.008365543057302461,0.004490586813967593,4
XGBoost,Profile_kurtosis,0.0025114538780526717,0.008180177166449027,5
XGBoost,DM_shape_score,0.001960023208925965,0.00038429795770146736,6
XGBoost,profile_cv,0.0003077698993842359,0.0038993390603299823,7
XGBoost,Profile_mean,-0.0005695349694462282,0.003844458006611138,8
XGBoost,DM_kurtosis,-0.002707656880396825,0.003844389740057199,9
XGBoost,DM_cv,-0.002752143076989877,0.00366323181613528,10
XGBoost,DM_mean,-0.003950178558015693,0.002879760287489461,11
XGBoost,DM_skewness,-0.004487217044201719,0.0022435277048009467,12
MLP,Profile_skewness,0.7682240370368225,0.01418260646798226,1
MLP,profile_shape_score,0.15427737062004782,0.011654046315628944,2
MLP,DM_stdev,0.09050674859124894,0.006539469117341414,3
MLP,Profile_kurtosis,0.028513286378243397,0.004321274107622058,4
MLP,Profile_stdev,0.027111508594557753,0.005294609950939312,5
MLP,Profile_mean,0.017906218889005364,0.005429491532254006,6
MLP,DM_shape_score,0.017430337686420903,0.007915656745828782,7
MLP,DM_skewness,0.013344627454891244,0.00517428277782628,8
MLP,DM_kurtosis,0.011116382729865214,0.0035754922216727717,9
MLP,DM_mean,0.005490109940326083,0.0016937485608923177,10
MLP,DM_cv,0.004131240437081285,0.002562810854874239,11
MLP,profile_cv,0.003439491047469412,0.003954428553216366,12
