model,feature,importance_mean,importance_std,rank
Logistic Regression,Profile_skewness,0.8490716395959781,0.003001102142410201,1
Logistic Regression,DM_stdev,0.05352613249771983,0.006237242068054712,2
Logistic Regression,DM_cv,0.011192120357385638,0.0060825233395680675,3
Logistic Regression,DM_skewness,0.005506506045157256,0.004028229505568441,4
Logistic Regression,DM_mean,0.004376113008581051,0.0010460811601941246,5
MLP,Profile_skewness,0.7682240370368225,0.01418260646798226,1
MLP,profile_shape_score,0.15427737062004782,0.011654046315628944,2
MLP,DM_stdev,0.09050674859124894,0.006539469117341414,3
MLP,Profile_kurtosis,0.028513286378243397,0.004321274107622058,4
MLP,Profile_stdev,0.027111508594557753,0.005294609950939312,5
Random Forest,Profile_skewness,0.5795137074695215,0.023976428180533287,1
Random Forest,profile_shape_score,0.0575761491615568,0.006910434308875441,2
Random Forest,DM_stdev,0.030460832218406498,0.012749069884287482,3
Random Forest,Profile_mean,0.029030569393581195,0.008681074769334005,4
Random Forest,profile_cv,0.022822671224211777,0.0046656258983840725,5
SVM,Profile_skewness,0.6489247018060456,0.015439376010279286,1
SVM,profile_shape_score,0.04597419527334212,0.005997814217159336,2
SVM,DM_stdev,0.03670005981100288,0.00425612541098606,3
SVM,Profile_kurtosis,0.035958227284242895,0.005004189774470797,4
SVM,DM_mean,0.00697100759692384,0.001385015000439765,5
XGBoost,Profile_skewness,0.7152261632525836,0.020540217646544384,1
XGBoost,DM_stdev,0.05928673316950561,0.009785352081090005,2
XGBoost,profile_shape_score,0.008739408108017632,0.007315479418883071,3
XGBoost,Profile_stdev,0.008365543057302461,0.004490586813967593,4
XGBoost,Profile_kurtosis,0.0025114538780526717,0.008180177166449027,5
