model,dev_pr_auc_average_precision,dev_roc_auc,dev_f1_score,dev_recall,dev_precision,params,rank_dev_pr_auc
Random Forest,0.9286844861773899,0.9782664493311599,0.8739837398373984,0.8739837398373984,0.8739837398373984,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",1
Random Forest,0.9286610029107281,0.9766614332809995,0.8699186991869918,0.8699186991869918,0.8699186991869918,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",2
Random Forest,0.928414710953299,0.977406440731074,0.8716904276985743,0.8699186991869918,0.8734693877551021,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",3
Random Forest,0.9283488365232363,0.9770947709477095,0.8699186991869918,0.8699186991869918,0.8699186991869918,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",4
Random Forest,0.9282020192900876,0.9770564372310389,0.8693877551020408,0.8658536585365854,0.8729508196721312,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",5
Random Forest,0.927688406278254,0.977996446631133,0.8775510204081632,0.8739837398373984,0.8811475409836066,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",6
Random Forest,0.9275101104976454,0.9769464361310279,0.8600823045267489,0.8495934959349594,0.8708333333333333,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",7
Random Forest,0.9274530336163633,0.9765047650476504,0.8699186991869918,0.8699186991869918,0.8699186991869918,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",8
Random Forest,0.9273540803401424,0.9770981043143765,0.86652977412731,0.8577235772357723,0.8755186721991701,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",9
Random Forest,0.9272715882575956,0.9760414270809374,0.8693877551020408,0.8658536585365854,0.8729508196721312,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",10
Random Forest,0.9271668952060678,0.9750655839891732,0.8763102725366876,0.8495934959349594,0.9047619047619048,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",11
Random Forest,0.9271202790660296,0.973423067564009,0.8823529411764706,0.8536585365853658,0.9130434782608695,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",12
Random Forest,0.9267924439152821,0.9771356046893801,0.8710359408033826,0.8373983739837398,0.9074889867841409,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",13
Random Forest,0.9267527709780277,0.9761447614476144,0.8734177215189873,0.8414634146341463,0.9078947368421053,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",14
Random Forest,0.9266236353505257,0.9731547315473155,0.8781512605042017,0.8495934959349594,0.908695652173913,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",15
Random Forest,0.9265587160262048,0.9748147481474815,0.8763102725366876,0.8495934959349594,0.9047619047619048,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",16
Random Forest,0.9263480115394269,0.9761430947642811,0.8757637474541752,0.8739837398373984,0.8775510204081632,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",17
Random Forest,0.9263304904418038,0.9773331066644,0.8604651162790697,0.9024390243902439,0.8222222222222222,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",18
Random Forest,0.9262314318061132,0.9764947649476495,0.8701030927835052,0.8577235772357723,0.8828451882845189,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",19
Random Forest,0.926180718744448,0.9761122611226113,0.8757894736842106,0.8455284552845529,0.9082969432314411,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",20
Random Forest,0.9259960741110494,0.9775197751977519,0.8621359223300971,0.9024390243902439,0.8252788104089219,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",21
Random Forest,0.9259685851714355,0.9773647736477364,0.8604651162790697,0.9024390243902439,0.8222222222222222,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",22
Random Forest,0.9259019532664468,0.9774372743727437,0.8621359223300971,0.9024390243902439,0.8252788104089219,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",23
Random Forest,0.9258904167783416,0.9729522295222951,0.8760683760683761,0.8333333333333334,0.9234234234234234,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",24
Random Forest,0.9256566940491318,0.975969759697597,0.8757894736842106,0.8455284552845529,0.9082969432314411,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",25
Random Forest,0.9254262083466674,0.9727905612389458,0.8763102725366876,0.8495934959349594,0.9047619047619048,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",26
Random Forest,0.9253749953767033,0.9768164348310149,0.8565891472868217,0.8983739837398373,0.8185185185185185,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",27
Random Forest,0.9253177506605376,0.9746797467974679,0.8773388773388774,0.8577235772357723,0.8978723404255319,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",28
Random Forest,0.9252527612841317,0.9765714323809905,0.8549323017408124,0.8983739837398373,0.8154981549815498,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",29
Random Forest,0.9252184172571855,0.9762639293059598,0.8747346072186837,0.8373983739837398,0.9155555555555556,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",30
Random Forest,0.9249043037406469,0.9724938916055826,0.8763102725366876,0.8495934959349594,0.9047619047619048,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",31
Random Forest,0.9248077018757667,0.9759830931642649,0.8757894736842106,0.8455284552845529,0.9082969432314411,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",32
Random Forest,0.9247813853810248,0.977406440731074,0.8621359223300971,0.9024390243902439,0.8252788104089219,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",33
Random Forest,0.9247580002728776,0.9746780801141345,0.8773388773388774,0.8577235772357723,0.8978723404255319,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",34
Random Forest,0.9247024367196846,0.9712413790804575,0.8742004264392325,0.8333333333333334,0.9192825112107623,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",35
Random Forest,0.9244977148211645,0.974089740897409,0.8755186721991701,0.8577235772357723,0.8940677966101694,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",36
Random Forest,0.9244699644829836,0.9773106064393977,0.8604651162790697,0.9024390243902439,0.8222222222222222,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",37
Random Forest,0.9243819000767274,0.9772422724227242,0.8588007736943907,0.9024390243902439,0.8191881918819188,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",38
Random Forest,0.9242688516263857,0.9722538892055587,0.8760683760683761,0.8333333333333334,0.9234234234234234,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",39
