model,imbalance_method,hidden_layer_sizes,alpha,learning_rate_init,dev_accuracy,dev_precision,dev_recall,dev_f1_score,dev_roc_auc,dev_pr_auc_average_precision,dev_TN,dev_FP,dev_FN,dev_TP,rank_dev_pr_auc
MLP,none,"(16, 8)",0.001,0.0005,0.9776536312849162,0.8940677966101694,0.8577235772357723,0.8755186721991701,0.981149811498115,0.9308006691483359,2414,25,35,211,1
MLP,none,"(16, 8)",0.001,0.001,0.9780260707635009,0.9012875536480687,0.8536585365853658,0.8768267223382046,0.9809848098480984,0.9306887995672923,2416,23,36,210,2
MLP,none,"(16, 8)",0.01,0.001,0.9780260707635009,0.9012875536480687,0.8536585365853658,0.8768267223382046,0.980723140564739,0.930664891028677,2416,23,36,210,3
MLP,none,"(16, 8)",0.0001,0.001,0.9769087523277468,0.8898305084745762,0.8536585365853658,0.8713692946058091,0.9809598095980959,0.9301693625926326,2413,26,36,210,4
MLP,none,"(16,)",0.001,0.001,0.9787709497206704,0.9055793991416309,0.8577235772357723,0.8810020876826722,0.980139801398014,0.9296838448795192,2417,22,35,211,5
MLP,none,"(16,)",0.0001,0.001,0.9787709497206704,0.9055793991416309,0.8577235772357723,0.8810020876826722,0.9801498014980149,0.9296145549557785,2417,22,35,211,6
MLP,none,"(16,)",0.01,0.001,0.9791433891992551,0.9094827586206896,0.8577235772357723,0.8828451882845189,0.980116467831345,0.929605704947844,2418,21,35,211,7
MLP,none,"(16, 8)",0.0001,0.0005,0.9772811918063314,0.8936170212765957,0.8536585365853658,0.8731808731808732,0.979979799797998,0.9293568568447983,2414,25,36,210,8
MLP,none,"(32, 16)",0.01,0.0005,0.9783985102420857,0.9017094017094017,0.8577235772357723,0.8791666666666667,0.979663129964633,0.9292230713392278,2416,23,35,211,9
MLP,none,"(32, 16)",0.001,0.0005,0.9780260707635009,0.9012875536480687,0.8536585365853658,0.8768267223382046,0.9796781301146344,0.9291617731607923,2416,23,36,210,10
MLP,none,"(16, 8)",0.01,0.0005,0.9776536312849162,0.8974358974358975,0.8536585365853658,0.875,0.9798181315146485,0.9290015335289634,2415,24,36,210,11
MLP,none,"(16,)",0.01,0.0005,0.9798882681564246,0.9210526315789473,0.8536585365853658,0.8860759493670886,0.9803114697813645,0.9289058439624631,2421,18,36,210,12
MLP,none,"(32, 16)",0.0001,0.0005,0.9787709497206704,0.902127659574468,0.8617886178861789,0.8814968814968815,0.979673130064634,0.9288927516161448,2416,23,34,212,13
MLP,none,"(16,)",0.001,0.0005,0.9798882681564246,0.9210526315789473,0.8536585365853658,0.8860759493670886,0.9802798027980281,0.9287045859665445,2421,18,36,210,14
MLP,none,"(16,)",0.0001,0.0005,0.9798882681564246,0.9210526315789473,0.8536585365853658,0.8860759493670886,0.980269802698027,0.9286988457891792,2421,18,36,210,15
MLP,none,"(32, 16)",0.01,0.001,0.9787709497206704,0.8987341772151899,0.8658536585365854,0.8819875776397516,0.9792181255145884,0.9284434016596161,2415,24,33,213,16
MLP,none,"(32,)",0.01,0.001,0.9787709497206704,0.9090909090909091,0.8536585365853658,0.8805031446540881,0.9794897948979491,0.9281078556902027,2418,21,36,210,17
MLP,none,"(32,)",0.001,0.001,0.9787709497206704,0.9090909090909091,0.8536585365853658,0.8805031446540881,0.9794631279646131,0.9280787662443093,2418,21,36,210,18
MLP,none,"(32,)",0.0001,0.001,0.9787709497206704,0.9090909090909091,0.8536585365853658,0.8805031446540881,0.979429794297943,0.9279785231687316,2418,21,36,210,19
MLP,none,"(8,)",0.01,0.001,0.9795158286778398,0.9170305676855895,0.8536585365853658,0.8842105263157894,0.9795014616812835,0.9279532231161929,2420,19,36,210,20
MLP,none,"(8,)",0.0001,0.001,0.9795158286778398,0.9170305676855895,0.8536585365853658,0.8842105263157894,0.9793897938979389,0.9277773045681778,2420,19,36,210,21
MLP,none,"(8,)",0.001,0.001,0.9795158286778398,0.9170305676855895,0.8536585365853658,0.8842105263157894,0.9794114607812746,0.9277217721985112,2420,19,36,210,22
MLP,none,"(8,)",0.001,0.0005,0.9802607076350093,0.9288888888888889,0.8495934959349594,0.8874734607218684,0.979263125964593,0.9276028827246411,2423,16,37,209,23
MLP,none,"(8,)",0.0001,0.0005,0.9802607076350093,0.9288888888888889,0.8495934959349594,0.8874734607218684,0.97926645933126,0.9276027220887401,2423,16,37,209,24
MLP,none,"(8,)",0.01,0.0005,0.9802607076350093,0.9288888888888889,0.8495934959349594,0.8874734607218684,0.979273126064594,0.9275940413003333,2423,16,37,209,25
MLP,none,"(32,)",0.01,0.0005,0.9791433891992551,0.9166666666666666,0.8495934959349594,0.8818565400843882,0.9794714613812805,0.9274943778780464,2420,19,37,209,26
MLP,none,"(32,)",0.0001,0.0005,0.9787709497206704,0.9162995594713657,0.8455284552845529,0.879492600422833,0.9794014606812734,0.9273711210889529,2420,19,38,208,27
MLP,none,"(32,)",0.001,0.0005,0.9787709497206704,0.9162995594713657,0.8455284552845529,0.879492600422833,0.9794064607312739,0.9273372814594412,2420,19,38,208,28
MLP,none,"(32, 16)",0.0001,0.001,0.9776536312849162,0.8875,0.8658536585365854,0.8765432098765432,0.97649976499765,0.926899354747314,2412,27,33,213,29
