model,dev_pr_auc_average_precision,dev_roc_auc,dev_f1_score,dev_recall,dev_precision,params,rank_dev_pr_auc
SVM,0.9256784762852548,0.975996426630933,0.8708971553610503,0.8089430894308943,0.943127962085308,"{'svm__C': 10, 'svm__gamma': 0.001}",1
SVM,0.9244513522288735,0.9760947609476094,0.8779443254817987,0.8333333333333334,0.9276018099547512,"{'svm__C': 1000, 'svm__gamma': 0.001}",2
SVM,0.92427659566911,0.9758047580475804,0.8755364806866953,0.8292682926829268,0.9272727272727272,"{'svm__C': 100, 'svm__gamma': 0.001}",3
SVM,0.9220683408842127,0.9752180855141884,0.8240740740740741,0.7235772357723578,0.956989247311828,"{'svm__C': 1, 'svm__gamma': 0.001}",4
SVM,0.9205833434513112,0.973539735397354,0.8665207877461707,0.8048780487804879,0.9383886255924171,"{'svm__C': 1, 'svm__gamma': 0.01}",5
SVM,0.9185700851217703,0.9757147571475714,0.8267898383371824,0.7276422764227642,0.9572192513368984,"{'svm__C': 0.1, 'svm__gamma': 0.01}",6
SVM,0.9179708596725734,0.9736247362473623,0.8779443254817987,0.8333333333333334,0.9276018099547512,"{'svm__C': 10, 'svm__gamma': 0.01}",7
SVM,0.917673820750739,0.9691980253135866,0.8803418803418803,0.8373983739837398,0.9279279279279279,"{'svm__C': 100, 'svm__gamma': 0.01}",8
SVM,0.9100210341250718,0.97239972399724,0.7474747474747475,0.6016260162601627,0.9866666666666667,"{'svm__C': 0.1, 'svm__gamma': 0.001}",9
SVM,0.9058251282903117,0.9712413790804574,0.7506297229219143,0.6056910569105691,0.9867549668874173,"{'svm__C': 0.01, 'svm__gamma': 0.01}",10
SVM,0.901847466226571,0.9703563702303689,0.26148409893992935,0.15040650406504066,1.0,"{'svm__C': 0.01, 'svm__gamma': 0.001}",11
SVM,0.9013801736245816,0.9601896018960191,0.8571428571428571,0.7804878048780488,0.9504950495049505,"{'svm__C': 0.1, 'svm__gamma': 'scale'}",12
SVM,0.9011248691338418,0.9459244592445923,0.8731182795698925,0.8252032520325203,0.9269406392694064,"{'svm__C': 1000, 'svm__gamma': 0.01}",13
SVM,0.8946444520345354,0.957376240429071,0.8603104212860311,0.7886178861788617,0.9463414634146341,"{'svm__C': 0.1, 'svm__gamma': 0.1}",14
SVM,0.8935868740761072,0.9482878162114954,0.8793103448275862,0.8292682926829268,0.9357798165137615,"{'svm__C': 10, 'svm__gamma': 'scale'}",15
SVM,0.8930255666148927,0.954582879162125,0.8806941431670282,0.8252032520325203,0.9441860465116279,"{'svm__C': 1, 'svm__gamma': 'scale'}",16
SVM,0.8926908126747348,0.9603646036460365,0.8,0.6829268292682927,0.9655172413793104,"{'svm__C': 0.01, 'svm__gamma': 'scale'}",17
SVM,0.8918110899384143,0.9479478128114613,0.8798283261802575,0.8333333333333334,0.9318181818181818,"{'svm__C': 10, 'svm__gamma': 0.1}",18
SVM,0.8916585880538331,0.9524861915285819,0.8806941431670282,0.8252032520325203,0.9441860465116279,"{'svm__C': 1, 'svm__gamma': 0.1}",19
SVM,0.8903929235568786,0.958579585795858,0.7647058823529411,0.6341463414634146,0.9629629629629629,"{'svm__C': 0.01, 'svm__gamma': 0.1}",20
SVM,0.8843236190815892,0.9564662313289798,0.8774193548387097,0.8292682926829268,0.9315068493150684,"{'svm__C': 1, 'svm__gamma': 1}",21
SVM,0.8814819473440973,0.9473461401280678,0.8650963597430407,0.8211382113821138,0.9140271493212669,"{'svm__C': 100, 'svm__gamma': 'scale'}",22
SVM,0.8787344858993106,0.9538095380953809,0.6666666666666666,0.5121951219512195,0.9545454545454546,"{'svm__C': 0.1, 'svm__gamma': 1}",23
SVM,0.8718392257333117,0.9542628759620929,0.0,0.0,0.0,"{'svm__C': 0.01, 'svm__gamma': 1}",24
SVM,0.8700542262232583,0.942026086927536,0.8547008547008547,0.8130081300813008,0.9009009009009009,"{'svm__C': 100, 'svm__gamma': 0.1}",25
SVM,0.8587040205495278,0.9339410060767274,0.8632478632478633,0.8211382113821138,0.9099099099099099,"{'svm__C': 1000, 'svm__gamma': 'scale'}",26
SVM,0.855972760811894,0.9487678210115434,0.8721174004192872,0.8455284552845529,0.9004329004329005,"{'svm__C': 10, 'svm__gamma': 1}",27
SVM,0.8479693324690071,0.9331043310433105,0.8614072494669509,0.8211382113821138,0.905829596412556,"{'svm__C': 1000, 'svm__gamma': 0.1}",28
SVM,0.8132267465347457,0.9441544415444155,0.8458333333333333,0.8252032520325203,0.8675213675213675,"{'svm__C': 100, 'svm__gamma': 1}",29
SVM,0.7678597210383785,0.9504911715783826,0.7717842323651453,0.7560975609756098,0.788135593220339,"{'svm__C': 1000, 'svm__gamma': 1}",30
Class Balanced SVM,0.9228770159856138,0.9774131074644079,0.8532289628180039,0.8861788617886179,0.8226415094339623,"{'svm__C': 10, 'svm__gamma': 0.001}",1
Class Balanced SVM,0.9163077330948929,0.9755197551975519,0.8492063492063492,0.8699186991869918,0.8294573643410853,"{'svm__C': 1, 'svm__gamma': 0.001}",2
Class Balanced SVM,0.9147083155074941,0.977373107064404,0.8571428571428571,0.9146341463414634,0.8064516129032258,"{'svm__C': 1000, 'svm__gamma': 0.001}",3
Class Balanced SVM,0.9130980232101397,0.977209772097721,0.8576923076923076,0.9065040650406504,0.8138686131386861,"{'svm__C': 100, 'svm__gamma': 0.001}",4
Class Balanced SVM,0.9107499066626391,0.9772464391310579,0.8616600790513834,0.8861788617886179,0.8384615384615385,"{'svm__C': 1, 'svm__gamma': 0.01}",5
Class Balanced SVM,0.9060378954431847,0.976239762397624,0.8531746031746031,0.8739837398373984,0.8333333333333334,"{'svm__C': 0.1, 'svm__gamma': 0.01}",6
Class Balanced SVM,0.9038463736666642,0.9719530528638621,0.8576923076923076,0.9065040650406504,0.8138686131386861,"{'svm__C': 1000, 'svm__gamma': 0.01}",7
Class Balanced SVM,0.9012306011452039,0.9753647536475365,0.8555133079847909,0.9146341463414634,0.8035714285714286,"{'svm__C': 100, 'svm__gamma': 0.01}",8
Class Balanced SVM,0.9001650999086765,0.976329763297633,0.8609523809523809,0.9186991869918699,0.8100358422939068,"{'svm__C': 10, 'svm__gamma': 0.01}",9
Class Balanced SVM,0.8964666012466888,0.9695796957969579,0.8181818181818182,0.8414634146341463,0.7961538461538461,"{'svm__C': 0.1, 'svm__gamma': 0.001}",10
Class Balanced SVM,0.8821481832172393,0.967873012063454,0.8156862745098039,0.8455284552845529,0.7878787878787878,"{'svm__C': 0.01, 'svm__gamma': 0.01}",11
Class Balanced SVM,0.8798900479980868,0.9651346513465136,0.8195991091314031,0.7479674796747967,0.9064039408866995,"{'svm__C': 0.01, 'svm__gamma': 0.001}",12
Class Balanced SVM,0.8606670121970412,0.9518328516618502,0.8311195445920304,0.8902439024390244,0.7793594306049823,"{'svm__C': 1000, 'svm__gamma': 0.1}",13
Class Balanced SVM,0.8598653245388412,0.972116387830545,0.8560311284046692,0.8943089430894309,0.8208955223880597,"{'svm__C': 0.1, 'svm__gamma': 'scale'}",14
Class Balanced SVM,0.8576493664444378,0.9710630439637731,0.8527131782945736,0.8943089430894309,0.8148148148148148,"{'svm__C': 0.1, 'svm__gamma': 0.1}",15
Class Balanced SVM,0.8561915114041702,0.9527761944286108,0.8333333333333334,0.8943089430894309,0.7801418439716312,"{'svm__C': 1000, 'svm__gamma': 'scale'}",16
Class Balanced SVM,0.8519506243226455,0.9678630119634529,0.7759562841530054,0.8658536585365854,0.7029702970297029,"{'svm__C': 0.01, 'svm__gamma': 'scale'}",17
Class Balanced SVM,0.8494552086567826,0.9706747067470675,0.8571428571428571,0.9146341463414634,0.8064516129032258,"{'svm__C': 1, 'svm__gamma': 'scale'}",18
Class Balanced SVM,0.8476188125433609,0.9697963646303129,0.8587786259541985,0.9146341463414634,0.8093525179856115,"{'svm__C': 1, 'svm__gamma': 0.1}",19
Class Balanced SVM,0.8471406431680942,0.9628062947296139,0.832089552238806,0.9065040650406504,0.7689655172413793,"{'svm__C': 100, 'svm__gamma': 0.1}",20
Class Balanced SVM,0.846285310333695,0.9665413320799874,0.7508771929824561,0.8699186991869918,0.6604938271604939,"{'svm__C': 0.01, 'svm__gamma': 0.1}",21
Class Balanced SVM,0.8429064787851118,0.9603662703293699,0.8355387523629489,0.8983739837398373,0.7809187279151943,"{'svm__C': 100, 'svm__gamma': 'scale'}",22
Class Balanced SVM,0.8387036826913845,0.9663563302299689,0.8571428571428571,0.9146341463414634,0.8064516129032258,"{'svm__C': 10, 'svm__gamma': 'scale'}",23
Class Balanced SVM,0.8334700554774167,0.9662479958132915,0.8565965583173997,0.9105691056910569,0.8086642599277978,"{'svm__C': 10, 'svm__gamma': 0.1}",24
Class Balanced SVM,0.8283585886874031,0.9569329026623599,0.48187633262260127,0.9186991869918699,0.3265895953757225,"{'svm__C': 0.01, 'svm__gamma': 1}",25
Class Balanced SVM,0.8142392836872006,0.962536292029587,0.8395522388059702,0.9146341463414634,0.7758620689655172,"{'svm__C': 1, 'svm__gamma': 1}",26
Class Balanced SVM,0.8101107898325636,0.9628879622129555,0.7234726688102894,0.9146341463414634,0.598404255319149,"{'svm__C': 0.1, 'svm__gamma': 1}",27
Class Balanced SVM,0.7792909237148478,0.9616229495628289,0.8330134357005758,0.8821138211382114,0.7890909090909091,"{'svm__C': 10, 'svm__gamma': 1}",28
Class Balanced SVM,0.7524561682710693,0.9541212078787454,0.7889546351084813,0.8130081300813008,0.7662835249042146,"{'svm__C': 100, 'svm__gamma': 1}",29
Class Balanced SVM,0.67646037874827,0.947289472894729,0.7246376811594203,0.7113821138211383,0.7383966244725738,"{'svm__C': 1000, 'svm__gamma': 1}",30
SMOTE SVM,0.9214892357650133,0.977563108964423,0.8543689320388349,0.8943089430894309,0.8178438661710037,"{'svm__C': 10, 'svm__gamma': 0.001}",1
SMOTE SVM,0.9187965368287557,0.9764480978143115,0.8414872798434442,0.8739837398373984,0.8113207547169812,"{'svm__C': 1, 'svm__gamma': 0.001}",2
SMOTE SVM,0.9185579413681986,0.9775781091144246,0.8480300187617261,0.9186991869918699,0.7874564459930313,"{'svm__C': 1000, 'svm__gamma': 0.001}",3
SMOTE SVM,0.9129361778291338,0.977263105964393,0.8517110266159695,0.9105691056910569,0.8,"{'svm__C': 100, 'svm__gamma': 0.001}",4
SMOTE SVM,0.9087716373009203,0.9773397733977339,0.8665377176015474,0.9105691056910569,0.8265682656826568,"{'svm__C': 1, 'svm__gamma': 0.01}",5
SMOTE SVM,0.9055904432004434,0.977336440031067,0.8464566929133859,0.8739837398373984,0.8206106870229007,"{'svm__C': 0.1, 'svm__gamma': 0.01}",6
SMOTE SVM,0.9021212668020862,0.9710547105471056,0.825147347740668,0.8536585365853658,0.7984790874524715,"{'svm__C': 0.1, 'svm__gamma': 0.001}",7
SMOTE SVM,0.9019566927155682,0.976043093764271,0.8544423440453687,0.9186991869918699,0.7985865724381626,"{'svm__C': 100, 'svm__gamma': 0.01}",8
SMOTE SVM,0.901933202160952,0.966322996563299,0.8431001890359168,0.9065040650406504,0.7879858657243817,"{'svm__C': 1000, 'svm__gamma': 0.01}",9
SMOTE SVM,0.8996772838761145,0.9766380997143305,0.849624060150376,0.9186991869918699,0.7902097902097902,"{'svm__C': 10, 'svm__gamma': 0.01}",10
SMOTE SVM,0.8894744253530682,0.9699646996469965,0.8155339805825242,0.8536585365853658,0.7806691449814126,"{'svm__C': 0.01, 'svm__gamma': 0.01}",11
SMOTE SVM,0.8871760710589414,0.9762597625976258,0.86328125,0.8983739837398373,0.8308270676691729,"{'svm__C': 0.1, 'svm__gamma': 'scale'}",12
SMOTE SVM,0.8858770408774597,0.9729430627639609,0.8287937743190662,0.8658536585365854,0.7947761194029851,"{'svm__C': 0.01, 'svm__gamma': 'scale'}",13
SMOTE SVM,0.8837970368946545,0.9597579309126424,0.842911877394636,0.8943089430894309,0.7971014492753623,"{'svm__C': 1000, 'svm__gamma': 'scale'}",14
SMOTE SVM,0.8823526735651542,0.9656579899132324,0.8218029350104822,0.7967479674796748,0.8484848484848485,"{'svm__C': 0.01, 'svm__gamma': 0.001}",15
SMOTE SVM,0.8780796960737766,0.967523008563419,0.8517110266159695,0.9105691056910569,0.8,"{'svm__C': 100, 'svm__gamma': 'scale'}",16
SMOTE SVM,0.8760384506874737,0.9748947489474895,0.8571428571428571,0.9146341463414634,0.8064516129032258,"{'svm__C': 1, 'svm__gamma': 'scale'}",17
